"# PDIoT walking data"
"# Start time: 20180921T123824"
"# Group: B"
"# Subject:  Walking for 100 steps"
"# Activity type: Walking (level ground)"
"# Sensor position: Upper Leg"
"# Side of body: Right"
"# Sensor mounting: Body"
"# Number of steps: 100"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1537530034134","3080","-1.2304688","0.21875","-0.39941406","-28.9375","21.875","-156.15625"
"1537530034135","3081","-0.9863281","-0.0068359375","-0.31640625","-32.59375","8.9375","-127.125"
"1537530034135","3082","-0.8925781","-0.13574219","-0.17285156","42.4375","0.75","-94.71875"
"1537530034136","3083","-0.87109375","-0.123046875","-0.23046875","98.46875","6.4375","-70.65625"
"1537530034331","3084","-0.70410156","0.0107421875","-0.37109375","93.8125","-9.3125","-43.0"
"1537530034332","3085","-0.50390625","0.14257812","-0.31835938","45.28125","-19.125","-18.28125"
"1537530034334","3086","-0.453125","-0.017578125","-0.234375","-17.6875","-5.15625","-2.0625"
"1537530034334","3087","-0.59765625","-0.37109375","-0.25","-95.46875","20.125","-9.125"
"1537530034334","3088","-1.0556641","-0.7988281","-0.35351562","-101.5","20.34375","-6.75"
"1537530034334","3089","-1.1083984","-1.1455078","-0.54785156","-4.21875","5.84375","3.1875"
"1537530034528","3090","-0.86328125","-0.9609375","-0.53125","68.84375","-4.375","6.375"
"1537530034528","3091","-0.5625","-0.36328125","-0.5644531","75.5625","5.9375","21.4375"
"1537530034529","3092","-0.5966797","0.45703125","0.021484375","103.28125","30.59375","74.3125"
"1537530034529","3093","-1.9921875","-0.625","-0.63964844","34.375","17.84375","77.65625"
"1537530034530","3094","-1.0146484","-0.39941406","-0.19824219","53.59375","-18.28125","-8.53125"
"1537530034926","3095","-0.42773438","1.2070312","-0.67871094","-46.6875","48.5","22.125"
"1537530034926","3096","-0.7373047","-0.078125","-0.79589844","-112.46875","28.84375","72.90625"
"1537530035124","3097","-1.0341797","-0.7939453","-0.3701172","-13.1875","-33.40625","57.40625"
"1537530035125","3098","-0.8076172","0.09667969","-0.3173828","71.71875","34.5","74.65625"
"1537530035125","3099","-0.82128906","0.20117188","-0.47851562","31.8125","7.46875","57.6875"
"1537530035125","3100","-0.8339844","0.03125","-0.4970703","-36.1875","-9.3125","53.84375"
"1537530035325","3101","-0.81640625","-0.19726562","-0.46875","-78.0625","11.6875","30.90625"
"1537530035326","3102","-0.8613281","-0.13378906","-0.5058594","-73.125","0.625","26.03125"
"1537530035326","3103","-0.85253906","-0.12011719","-0.42578125","-26.375","1.0","41.875"
"1537530035326","3104","-0.8544922","-0.14257812","-0.43164062","0.625","2.90625","45.5625"
